emotion,original_text,text_tokens,preprocessed_text
anger,"During a trivial (friendly) discussion, one of the participants made an intervention which made me feel uncomfortable.","['trivial', 'friendly', 'discussion', 'one', 'participant', 'made', 'intervention', 'made', 'feel', 'uncomfortable']",trivial friendly discussion one participant made intervention made feel uncomfortable
sadness,When I heard the last regulation of the socialist govrenment concerning pensions.,"['heard', 'last', 'regulation', 'socialist', 'govrenment', 'concerning', 'pension']",heard last regulation socialist govrenment concerning pension
disgust,When I got to know the details if the famine in East Africa.,"['got', 'know', 'detail', 'famine', 'east', 'africa']",got know detail famine east africa
shame,"The last time I had to phone the Registry, after having called them so many times in the last few days.","['last', 'time', 'phone', 'registry', 'called', 'many', 'time', 'last', 'day']",last time phone registry called many time last day
guilt,"During an argument with my brother, I behaved rather intransigently, even cruelly, wishing to morally hurt the \person\"" opposed to me.""","['argument', 'brother', 'behaved', 'rather', 'intransigently', 'even', 'cruelly', 'wishing', 'morally', 'hurt', 'person', 'opposed']",argument brother behaved rather intransigently even cruelly wishing morally hurt person opposed
happiness,When I passed an important exam.,"['passed', 'important', 'exam']",passed important exam
fear,"In a rather important exam, when they caught me red handed copying.","['rather', 'important', 'exam', 'caught', 'red', 'handed', 'copying']",rather important exam caught red handed copying
anger,"When my father addressed me directly and maliciously, thus including me in the \family war\"".""","['father', 'addressed', 'directly', 'maliciously', 'thus', 'including', 'family', 'war']",father addressed directly maliciously thus including family war
sadness,When my parents got divorced.,"['parent', 'got', 'divorced']",parent got divorced
disgust,"When I was a child, one day while playing, I fell up to my waist in mud.","['child', 'one', 'day', 'playing', 'fell', 'waist', 'mud']",child one day playing fell waist mud
shame,When I was dismissed from a job after having been accused of theft.,"['dismissed', 'job', 'accused', 'theft']",dismissed job accused theft
guilt,"When I was with a girl who seemed to love me, while I was with her just to go to bed with her.","['girl', 'seemed', 'love', 'bed']",girl seemed love bed
happiness,When I passed an exam which I had failed last year.,"['passed', 'exam', 'failed', 'last', 'year']",passed exam failed last year
fear,When I go out alone at night.,"['alone', 'night']",alone night
anger,A murder.,['murder'],murder
sadness,When I failed two subjects last year.,"['failed', 'two', 'subject', 'last', 'year']",failed two subject last year
disgust,When I see people who have no sentiments.,"['see', 'people', 'sentiment']",see people sentiment
shame,"I think that I am rather shy and do not mix with people as I would have liked to, out of shyness.","['think', 'rather', 'shy', 'mix', 'people', 'would', 'liked', 'shyness']",think rather shy mix people would liked shyness
guilt,When I triffled with other people.,"['triffled', 'people']",triffled people
happiness,When I was told that I could take a week off and go for a trip with my friends.,"['told', 'could', 'take', 'week', 'trip', 'friend']",told could take week trip friend
fear,Every time I went home with my school report.,"['every', 'time', 'went', 'home', 'school', 'report']",every time went home school report
anger,"During an argument between friends, one of them accused me of taking advantage of some other friends who usually come to the university in my car, saying that I ask them too much money for the petrol.","['argument', 'friend', 'one', 'accused', 'taking', 'advantage', 'friend', 'usually', 'come', 'university', 'car', 'saying', 'ask', 'much', 'money', 'petrol']",argument friend one accused taking advantage friend usually come university car saying ask much money petrol
sadness,When I learned that two of my friends had had a serious car accident.,"['learned', 'two', 'friend', 'serious', 'car', 'accident']",learned two friend serious car accident
disgust,A young man was insulting and humiliating a drunken man.,"['young', 'man', 'insulting', 'humiliating', 'drunken', 'man']",young man insulting humiliating drunken man
shame,My aunt phoned me to ask me why I had refused the her invitation to dinner at her home on the New Year's Eve.,"['aunt', 'phoned', 'ask', 'refused', 'invitation', 'dinner', 'home', 'new', 'year', 'eve']",aunt phoned ask refused invitation dinner home new year eve
guilt,"I was with a girl one night and then did not call her again, although she had asked me to do so.","['girl', 'one', 'night', 'call', 'although', 'asked']",girl one night call although asked
happiness,When I saw that I had passed an exam.  It was the last chance and there was a lot at stake.,"['saw', 'passed', 'exam', 'last', 'chance', 'lot', 'stake']",saw passed exam last chance lot stake
fear,"On a trip to Santander we wanted to stop at a curve because a friend was sick, and the car skidded of the gravel.","['trip', 'santander', 'wanted', 'stop', 'curve', 'friend', 'sick', 'car', 'skidded', 'gravel']",trip santander wanted stop curve friend sick car skidded gravel
anger,My cousins were playing at home and one of them broke a decorative object which was very precious to me.,"['cousin', 'playing', 'home', 'one', 'broke', 'decorative', 'object', 'precious']",cousin playing home one broke decorative object precious
sadness,All my friends arranged to go for an afternoon snack and they did not tell me.  They told me that they did not have my phone number but I do not think that this was true.,"['friend', 'arranged', 'afternoon', 'snack', 'tell', 'told', 'phone', 'number', 'think', 'true']",friend arranged afternoon snack tell told phone number think true
disgust,When I saw a film where a black was rapeing a girl while another one was filming it for a pornographic movie.,"['saw', 'film', 'black', 'rapeing', 'girl', 'another', 'one', 'filming', 'pornographic', 'movie']",saw film black rapeing girl another one filming pornographic movie
shame,I was swimming in the sea and a wave took the top part of my bikini away.,"['swimming', 'sea', 'wave', 'took', 'top', 'part', 'bikini', 'away']",swimming sea wave took top part bikini away
guilt,I was looking after a child and she fell down because I was not paying her much attention.  One side of her face got bruised.,"['looking', 'child', 'fell', 'paying', 'much', 'attention', 'one', 'side', 'face', 'got', 'bruised']",looking child fell paying much attention one side face got bruised
happiness,"When I pass exams, or when a close friend of mine recovered from an illness,etc.","['pas', 'exam', 'close', 'friend', 'mine', 'recovered', 'illnessetc']",pas exam close friend mine recovered illnessetc
fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home.","['fight', 'see', 'middle', 'street', 'robbery', 'fear', 'darkness', 'going', 'home']",fight see middle street robbery fear darkness going home
anger,"During a family discussion on my future and my prospects as a student, they accused me of not bothering about looking for a job to assume my financial situation.","['family', 'discussion', 'future', 'prospect', 'student', 'accused', 'bothering', 'looking', 'job', 'assume', 'financial', 'situation']",family discussion future prospect student accused bothering looking job assume financial situation
disgust,"Some people whom I do not like at all, and one of the reasons is their physical appearance.","['people', 'like', 'one', 'reason', 'physical', 'appearance']",people like one reason physical appearance
shame,"For example, to feel bad because of one's attire, to be among people who do not belong to the same social class, to give a wrong answer in class, to be surprised in particular situations.","['example', 'feel', 'bad', 'one', 'attire', 'among', 'people', 'belong', 'social', 'class', 'give', 'wrong', 'answer', 'class', 'surprised', 'particular', 'situation']",example feel bad one attire among people belong social class give wrong answer class surprised particular situation
guilt,Some of my friends had an argument.  I had earlier phoned one of them and that may have influenced him to argue.,"['friend', 'argument', 'earlier', 'phoned', 'one', 'may', 'influenced', 'argue']",friend argument earlier phoned one may influenced argue
happiness,When I met a very close friend of mine after one year of separation.,"['met', 'close', 'friend', 'mine', 'one', 'year', 'separation']",met close friend mine one year separation
fear,There was an earthquake for several minutes and I was on the eight floor.,"['earthquake', 'several', 'minute', 'eight', 'floor']",earthquake several minute eight floor
anger,An argument among several friends because of the irrational behavior of one of them who fell out with us for no reason and said that we were to blame.,"['argument', 'among', 'several', 'friend', 'irrational', 'behavior', 'one', 'fell', 'reason', 'said', 'blame']",argument among several friend irrational behavior one fell reason said blame
sadness,"A class-mate died after being two months in coma, after a car accident.","['classmate', 'died', 'two', 'month', 'coma', 'car', 'accident']",classmate died two month coma car accident
disgust,Pictures of Nazi extermination camps on a T.V program.,"['picture', 'nazi', 'extermination', 'camp', 'program']",picture nazi extermination camp program
shame,Equivocal situation when filling a security questionnaire on entering a government building with several people there.,"['equivocal', 'situation', 'filling', 'security', 'questionnaire', 'entering', 'government', 'building', 'several', 'people']",equivocal situation filling security questionnaire entering government building several people
guilt,I left a boy with whom I was going around without giving him any explanations.,"['left', 'boy', 'going', 'around', 'without', 'giving', 'explanation']",left boy going around without giving explanation
happiness,When my sister was born.,"['sister', 'born']",sister born
fear,When they tried to rob me.,"['tried', 'rob']",tried rob
anger,When I failed an exam unfairly.,"['failed', 'exam', 'unfairly']",failed exam unfairly
disgust,When I see dead dogs on the road.,"['see', 'dead', 'dog', 'road']",see dead dog road
shame,When I went to see the doctor and had to take my clothes off so that he could examine me.,"['went', 'see', 'doctor', 'take', 'clothes', 'could', 'examine']",went see doctor take clothes could examine
guilt,When my parents quarelled over something I had done and which was wrong.,"['parent', 'quarelled', 'something', 'done', 'wrong']",parent quarelled something done wrong
happiness,When my little sister was born.,"['little', 'sister', 'born']",little sister born
fear,"When I was attending an authorized demonstrationand the police rushed brutally at the demonstrators, without any warning.","['attending', 'authorized', 'demonstrationand', 'police', 'rushed', 'brutally', 'demonstrator', 'without', 'warning']",attending authorized demonstrationand police rushed brutally demonstrator without warning
anger,"When a professor of this faculty laughed at, and was suspicious of a composition written by a class-mate and me.","['professor', 'faculty', 'laughed', 'suspicious', 'composition', 'written', 'classmate']",professor faculty laughed suspicious composition written classmate
sadness,"The death of a relative, friend, or someone I esteem.","['death', 'relative', 'friend', 'someone', 'esteem']",death relative friend someone esteem
disgust,When I saw a very disagreable scene.,"['saw', 'disagreable', 'scene']",saw disagreable scene
shame,When I had to represent my boss at a meeting.,"['represent', 'bos', 'meeting']",represent bos meeting
guilt,When I inadvertantly made some close friends and relatives feel bad.,"['inadvertantly', 'made', 'close', 'friend', 'relative', 'feel', 'bad']",inadvertantly made close friend relative feel bad
fear,When they threatened me with a knife to take my money.,"['threatened', 'knife', 'take', 'money']",threatened knife take money
anger,When I failed an exam I thought I would pass.,"['failed', 'exam', 'thought', 'would', 'pas']",failed exam thought would pas
disgust,When I saw an accident where the man lost his head.,"['saw', 'accident', 'man', 'lost', 'head']",saw accident man lost head
shame,When I tripped while getting on a bus.,"['tripped', 'getting', 'bus']",tripped getting bus
guilt,When I hurt a person's feelings.,"['hurt', 'person', 'feeling']",hurt person feeling
happiness,"I had not seen my brother for five years as he was not in Spain.   When he arrived at the airport, I felt great joy.","['seen', 'brother', 'five', 'year', 'spain', 'arrived', 'airport', 'felt', 'great', 'joy']",seen brother five year spain arrived airport felt great joy
fear,When two drug addicts tried to take away my money.,"['two', 'drug', 'addict', 'tried', 'take', 'away', 'money']",two drug addict tried take away money
anger,When I saw my brother being attacked and I could not do anything.,"['saw', 'brother', 'attacked', 'could', 'anything']",saw brother attacked could anything
sadness,When a class-mate died.,"['classmate', 'died']",classmate died
disgust,When a person saw that I was accused of something I had not done and did not do anything to defend me.,"['person', 'saw', 'accused', 'something', 'done', 'anything', 'defend']",person saw accused something done anything defend
shame,When inadvertantly I found myself in the ladies room.,"['inadvertantly', 'found', 'lady', 'room']",inadvertantly found lady room
guilt,When I broke something and a friend of mine was blamed.,"['broke', 'something', 'friend', 'mine', 'blamed']",broke something friend mine blamed
happiness,I got my driving licence after they had frightened me with it's difficulty.,"['got', 'driving', 'licence', 'frightened', 'difficulty']",got driving licence frightened difficulty
fear,"When I had to walk over three kms through a field which had wild bulls, because my car had broken down.","['walk', 'three', 'field', 'wild', 'bull', 'car', 'broken']",walk three field wild bull car broken
anger,"When I saw a man hitting a child of 2 years without any consideration, simply because the child had been leaning against a window.","['saw', 'man', 'hitting', 'child', 'year', 'without', 'consideration', 'simply', 'child', 'leaning', 'window']",saw man hitting child year without consideration simply child leaning window
sadness,A friend of mine who was driving a car ahead of me died in a car accident.,"['friend', 'mine', 'driving', 'car', 'ahead', 'died', 'car', 'accident']",friend mine driving car ahead died car accident
disgust,When I had to dissect a live mouse at school.,"['dissect', 'live', 'mouse', 'school']",dissect live mouse school
shame,When I was a child I had to recite a poem in a show at the end of the term.,"['child', 'recite', 'poem', 'show', 'end', 'term']",child recite poem show end term
guilt,"When I saw a program on Ethiopia on T.V, a fews hours earlier I had thrown away some clothes and food.","['saw', 'program', 'ethiopia', 'few', 'hour', 'earlier', 'thrown', 'away', 'clothes', 'food']",saw program ethiopia few hour earlier thrown away clothes food
happiness,When I saw that the mark I had obtained in an exam was a good one.,"['saw', 'mark', 'obtained', 'exam', 'good', 'one']",saw mark obtained exam good one
fear,We were in the country and I walked away from the others one night.  Suddenly something moved sharply in front of me and I was not able to see what it was.,"['country', 'walked', 'away', 'others', 'one', 'night', 'suddenly', 'something', 'moved', 'sharply', 'front', 'able', 'see']",country walked away others one night suddenly something moved sharply front able see
anger,"When I was young, I became very angry as I was not allowed to stay up all night for the fair in my town.","['young', 'became', 'angry', 'allowed', 'stay', 'night', 'fair', 'town']",young became angry allowed stay night fair town
sadness,When summer is over and I have to leave the town where I spend my holidays.,"['summer', 'leave', 'town', 'spend', 'holiday']",summer leave town spend holiday
disgust,When I saw several people washing their car with water from a drain.,"['saw', 'several', 'people', 'washing', 'car', 'water', 'drain']",saw several people washing car water drain
shame,When I inadvertantly entered the ladies room and met some girls on my way out.,"['inadvertantly', 'entered', 'lady', 'room', 'met', 'girl', 'way']",inadvertantly entered lady room met girl way
guilt,I was entrusted with an object and while using it I handled it carelessly and it broke.,"['entrusted', 'object', 'using', 'handled', 'carelessly', 'broke']",entrusted object using handled carelessly broke
happiness,"When I learned, after the ecography, that my mother was expecting a baby girl.  That was what I wanted.","['learned', 'ecography', 'mother', 'expecting', 'baby', 'girl', 'wanted']",learned ecography mother expecting baby girl wanted
fear,"One night, walking along a park, I began to think that some roughnecks would appear suddenly with knives and things like that.","['one', 'night', 'walking', 'along', 'park', 'began', 'think', 'roughneck', 'would', 'appear', 'suddenly', 'knife', 'thing', 'like']",one night walking along park began think roughneck would appear suddenly knife thing like
anger,I had an exam and I had it well prepared.  I did the first part very well but did not know the second part.,"['exam', 'well', 'prepared', 'first', 'part', 'well', 'know', 'second', 'part']",exam well prepared first part well know second part
sadness,When my parents did not let me go on a study tour.,"['parent', 'let', 'study', 'tour']",parent let study tour
disgust,"One day I was going through the street door of my house, when a man asked me for a doctor.  He then showed me his genitals and asked me to cure him myself.","['one', 'day', 'going', 'street', 'door', 'house', 'man', 'asked', 'doctor', 'showed', 'genitals', 'asked', 'cure']",one day going street door house man asked doctor showed genitals asked cure
shame,Each time the professor asks me a question in class.,"['time', 'professor', 'asks', 'question', 'class']",time professor asks question class
guilt,I had an argument with my boyfriend.  It was my fault but my pride would not let me admit it.,"['argument', 'boyfriend', 'fault', 'pride', 'would', 'let', 'admit']",argument boyfriend fault pride would let admit
happiness,An invitation to spend 5 days at the seaside with all expenses paid.,"['invitation', 'spend', 'day', 'seaside', 'expense', 'paid']",invitation spend day seaside expense paid
fear,A film on zombies.,"['film', 'zombie']",film zombie
anger,When males in my family try to assign house duties exclusively with referance to sex.,"['male', 'family', 'try', 'assign', 'house', 'duty', 'exclusively', 'referance', 'sex']",male family try assign house duty exclusively referance sex
sadness,I had a quarrell with my boyfriend and decided to finish with him and and my Easter holidays.,"['quarrell', 'boyfriend', 'decided', 'finish', 'easter', 'holiday']",quarrell boyfriend decided finish easter holiday
disgust,"When after a storm in the country, I left my shelter and saw a big, fat, slimy green toad by my side.","['storm', 'country', 'left', 'shelter', 'saw', 'big', 'fat', 'slimy', 'green', 'toad', 'side']",storm country left shelter saw big fat slimy green toad side
shame,When a friend from whom I preferred to hide my private life discovered that I had relations with a man.,"['friend', 'preferred', 'hide', 'private', 'life', 'discovered', 'relation', 'man']",friend preferred hide private life discovered relation man
guilt,When my brother had to spend all evening repairing a gear-lever that I had broken.,"['brother', 'spend', 'evening', 'repairing', 'gearlever', 'broken']",brother spend evening repairing gearlever broken
happiness,When I passed the university entrance exam.,"['passed', 'university', 'entrance', 'exam']",passed university entrance exam
fear,"When I was walking down the street, some boys showed me a knife and stole all my money.","['walking', 'street', 'boy', 'showed', 'knife', 'stole', 'money']",walking street boy showed knife stole money
anger,"When they threw my holder down on the floor, with all my notes for an exam inside it and they got all mixed up.","['threw', 'holder', 'floor', 'note', 'exam', 'inside', 'got', 'mixed']",threw holder floor note exam inside got mixed
sadness,When my mother was operated.,"['mother', 'operated']",mother operated
disgust,When I see pornographic films.,"['see', 'pornographic', 'film']",see pornographic film
shame,One day I got on the bus without any money or season ticket and the driver threw me out.,"['one', 'day', 'got', 'bus', 'without', 'money', 'season', 'ticket', 'driver', 'threw']",one day got bus without money season ticket driver threw
guilt,When a friend of mine was beaten for what was my fault.,"['friend', 'mine', 'beaten', 'fault']",friend mine beaten fault
happiness,My father had an operation which lasted for hours.  We were all very worried but it was successful.,"['father', 'operation', 'lasted', 'hour', 'worried', 'successful']",father operation lasted hour worried successful
fear,I was walking along a subway when I saw a group of louts.  I was rather afraid because I was alone.,"['walking', 'along', 'subway', 'saw', 'group', 'lout', 'rather', 'afraid', 'alone']",walking along subway saw group lout rather afraid alone
anger,An old woman was violently thrown down the stairs of the tube by a group of louts.,"['old', 'woman', 'violently', 'thrown', 'stair', 'tube', 'group', 'lout']",old woman violently thrown stair tube group lout
sadness,"A child, 9 years old, died in a stupid way.  He fell from a place which was 1 metre high.","['child', 'year', 'old', 'died', 'stupid', 'way', 'fell', 'place', 'metre', 'high']",child year old died stupid way fell place metre high
disgust,On the road there was a dead animal with its entrails showing and its skull crushed.,"['road', 'dead', 'animal', 'entrails', 'showing', 'skull', 'crushed']",road dead animal entrails showing skull crushed
shame,We were discussing a subject ( I knew very little about it) and I was holding my ground.  They showed me that I was wrong.,"['discussing', 'subject', 'knew', 'little', 'holding', 'ground', 'showed', 'wrong']",discussing subject knew little holding ground showed wrong
guilt,"I could have passed the last exam of the public competition, but I failed as I had not studied.","['could', 'passed', 'last', 'exam', 'public', 'competition', 'failed', 'studied']",could passed last exam public competition failed studied
happiness,I was studying in the library and a class-mate told me that she had obtained a grant to work in the library.,"['studying', 'library', 'classmate', 'told', 'obtained', 'grant', 'work', 'library']",studying library classmate told obtained grant work library
fear,Before knowing my marks I was not sure that I wanted to go to that class.,"['knowing', 'mark', 'sure', 'wanted', 'class']",knowing mark sure wanted class
anger,"I learned that a class-mate had given a list, of peolpe who help each other in exams, to the professor.","['learned', 'classmate', 'given', 'list', 'peolpe', 'help', 'exam', 'professor']",learned classmate given list peolpe help exam professor
sadness,"I phoned two friends and was not able to arrange a meeting with either of them, so I had to change my plans.","['phoned', 'two', 'friend', 'able', 'arrange', 'meeting', 'either', 'change', 'plan']",phoned two friend able arrange meeting either change plan
disgust,I was in the cafeteria at the university and a class-mate told me that a friend of hers had had all her teeth taken out because of an infection caused by her eating a rat's nail in her hamburger.,"['cafeteria', 'university', 'classmate', 'told', 'friend', 'teeth', 'taken', 'infection', 'caused', 'eating', 'rat', 'nail', 'hamburger']",cafeteria university classmate told friend teeth taken infection caused eating rat nail hamburger
shame,"I had to meet a girlfriend to go out for a drink and she arrived with her aunt, to whom I was introduced.  Then the aunt left.","['meet', 'girlfriend', 'drink', 'arrived', 'aunt', 'introduced', 'aunt', 'left']",meet girlfriend drink arrived aunt introduced aunt left
guilt,"One night, after having decided to finish our relationship, I took my girlfriend home.  While driving back home, I felt that I had not handled the whole thing very well.","['one', 'night', 'decided', 'finish', 'relationship', 'took', 'girlfriend', 'home', 'driving', 'back', 'home', 'felt', 'handled', 'whole', 'thing', 'well']",one night decided finish relationship took girlfriend home driving back home felt handled whole thing well
happiness,The begining of my relations with my current girlfriend.,"['begining', 'relation', 'current', 'girlfriend']",begining relation current girlfriend
fear,"When I am alone at night after having read horror stories, and then I heard unexplainable noises.","['alone', 'night', 'read', 'horror', 'story', 'heard', 'unexplainable', 'noise']",alone night read horror story heard unexplainable noise
anger,A typical family argument.,"['typical', 'family', 'argument']",typical family argument
sadness,The disqualification of two of my mates in the military service.,"['disqualification', 'two', 'mate', 'military', 'service']",disqualification two mate military service
disgust,The sight of vomit on the street.,"['sight', 'vomit', 'street']",sight vomit street
shame,When criticizing something about a person and then realizing that the person whom one is talking to is similar.,"['criticizing', 'something', 'person', 'realizing', 'person', 'one', 'talking', 'similar']",criticizing something person realizing person one talking similar
guilt,Not to have studied enough when exams were near.,"['studied', 'enough', 'exam', 'near']",studied enough exam near
happiness,When I pass an exam.,"['pas', 'exam']",pas exam
fear,Continous fear of a nuclear war.,"['continous', 'fear', 'nuclear', 'war']",continous fear nuclear war
anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing.","['kill', 'work', 'see', 'number', 'slakers', 'wandering', 'around', 'nothing']",kill work see number slakers wandering around nothing
sadness,When someone in my family died.,"['someone', 'family', 'died']",someone family died
disgust,To loose friends because of them over-estimating themselves.,"['loose', 'friend', 'overestimating']",loose friend overestimating
shame,When people next to me play the fool.,"['people', 'next', 'play', 'fool']",people next play fool
guilt,To force someone to do something that suits me.,"['force', 'someone', 'something', 'suit']",force someone something suit
happiness,"I thought that I was going to fail a subject and so I began to study for the final exam, then my friend told me that I had passed it.  That meant that I could go home, as I do not study in my hometown.","['thought', 'going', 'fail', 'subject', 'began', 'study', 'final', 'exam', 'friend', 'told', 'passed', 'meant', 'could', 'home', 'study', 'hometown']",thought going fail subject began study final exam friend told passed meant could home study hometown
fear,"I was in Sierra Nevada, climbing a peak over 3,000 metres high, without any light and with many other problems.  I was afraid for my life.","['sierra', 'nevada', 'climbing', 'peak', '3000', 'metre', 'high', 'without', 'light', 'many', 'problem', 'afraid', 'life']",sierra nevada climbing peak 3000 metre high without light many problem afraid life
anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot.","['living', 'flat', 'thing', 'well', 'finally', 'threw', 'prejudiced', 'people', 'esteem', 'lot']",living flat thing well finally threw prejudiced people esteem lot
sadness,"When I read the diary of the girl with whom I was living, it was about another boy with whom she had been going around some time back.","['read', 'diary', 'girl', 'living', 'another', 'boy', 'going', 'around', 'time', 'back']",read diary girl living another boy going around time back
disgust,The man who threw me out of the flat disgusted me.,"['man', 'threw', 'flat', 'disgusted']",man threw flat disgusted
shame,"The first time that I caressed a girl, I was about thirteen and she was eighteen.  I noticed that it did not affect her at all.","['first', 'time', 'caressed', 'girl', 'thirteen', 'eighteen', 'noticed', 'affect']",first time caressed girl thirteen eighteen noticed affect
guilt,"I was going around with a girl without loving her.  Not only did I go around with her, but we did many more things.  In the end I was not very sincere to her.","['going', 'around', 'girl', 'without', 'loving', 'around', 'many', 'thing', 'end', 'sincere']",going around girl without loving around many thing end sincere
happiness,I met a girlfriend again after not seeing her for several months.  I saw her in a discotheque.  We do not like discotheques but we went there because we knew we would meet there.,"['met', 'girlfriend', 'seeing', 'several', 'month', 'saw', 'discotheque', 'like', 'discotheque', 'went', 'knew', 'would', 'meet']",met girlfriend seeing several month saw discotheque like discotheque went knew would meet
fear,"I was walking in the countryside alone when I came across two dogs who began barking at me.  I did not know whether they were tied up or loose, but I was afraid of them approaching me.","['walking', 'countryside', 'alone', 'came', 'across', 'two', 'dog', 'began', 'barking', 'know', 'whether', 'tied', 'loose', 'afraid', 'approaching']",walking countryside alone came across two dog began barking know whether tied loose afraid approaching
anger,"I was angry when my sister began to talk nonsense and to laugh at the way I swept the room.  My anger grew (I tried to control myself).  After telling her to leave me alone, I vented my anger on her as she did not obey me.","['angry', 'sister', 'began', 'talk', 'nonsense', 'laugh', 'way', 'swept', 'room', 'anger', 'grew', 'tried', 'control', 'telling', 'leave', 'alone', 'vented', 'anger', 'obey']",angry sister began talk nonsense laugh way swept room anger grew tried control telling leave alone vented anger obey
sadness,My mother was working with a knife and we were all laughing heartily.  She was not able to control the knife and stuck it deep into her hand.,"['mother', 'working', 'knife', 'laughing', 'heartily', 'able', 'control', 'knife', 'stuck', 'deep', 'hand']",mother working knife laughing heartily able control knife stuck deep hand
disgust,I read a book whose plot and expressions were obscene and in very bad taste.,"['read', 'book', 'whose', 'plot', 'expression', 'obscene', 'bad', 'taste']",read book whose plot expression obscene bad taste
shame,"My mother had just been teaching me how to crochet, which is thought highly improper for a boy in a town.  Just when we finished, a neighbour walked in.","['mother', 'teaching', 'crochet', 'thought', 'highly', 'improper', 'boy', 'town', 'finished', 'neighbour', 'walked']",mother teaching crochet thought highly improper boy town finished neighbour walked
guilt,"It was about midnight and I wanted to go to the countryside (I was in town) to watch the stars in the sky.  My mother did not like this, in spite of it I went out for a while.  My mother got angry.","['midnight', 'wanted', 'countryside', 'town', 'watch', 'star', 'sky', 'mother', 'like', 'spite', 'went', 'mother', 'got', 'angry']",midnight wanted countryside town watch star sky mother like spite went mother got angry
happiness,A friend of mine suggested that I become a film extra.  The idea seemed very funny to me and my reaction seemed rather outlandish to the others.,"['friend', 'mine', 'suggested', 'become', 'film', 'extra', 'idea', 'seemed', 'funny', 'reaction', 'seemed', 'rather', 'outlandish', 'others']",friend mine suggested become film extra idea seemed funny reaction seemed rather outlandish others
fear,One day I went to the cinema to see a film in which I was interested.  On arriving there I saw a long queue (which I had not expected) and went back home without seeing the film.,"['one', 'day', 'went', 'cinema', 'see', 'film', 'interested', 'arriving', 'saw', 'long', 'queue', 'expected', 'went', 'back', 'home', 'without', 'seeing', 'film']",one day went cinema see film interested arriving saw long queue expected went back home without seeing film
anger,"When I miss the train and I am late, and I have to wait half an hour for the next one.","['miss', 'train', 'late', 'wait', 'half', 'hour', 'next', 'one']",miss train late wait half hour next one
sadness,When I knew I had to go out with my mother on some errands.,"['knew', 'mother', 'errand']",knew mother errand
disgust,I saw in an ice-cream kiosque a cockroach walking through a cornet.,"['saw', 'icecream', 'kiosque', 'cockroach', 'walking', 'cornet']",saw icecream kiosque cockroach walking cornet
shame,"One day in class, the professor asked me a question concerning something he had been explaining.  He was very close to me (beside me) and I had no idea what to answer.","['one', 'day', 'class', 'professor', 'asked', 'question', 'concerning', 'something', 'explaining', 'close', 'beside', 'idea', 'answer']",one day class professor asked question concerning something explaining close beside idea answer
guilt,Once I had some homework to do and I did not do it.,['homework'],homework
happiness,"When they phoned me from Great-Britain to tell me that I could go there, if I wished, in Summer.","['phoned', 'greatbritain', 'tell', 'could', 'wished', 'summer']",phoned greatbritain tell could wished summer
fear,When I was operated on the knee and had to go through rehabilitation.,"['operated', 'knee', 'rehabilitation']",operated knee rehabilitation
anger,"In a very important basket-ball match where a lot was at stake, I played very badly.","['important', 'basketball', 'match', 'lot', 'stake', 'played', 'badly']",important basketball match lot stake played badly
sadness,When a friend of mine told me that he was going to commit suicide.,"['friend', 'mine', 'told', 'going', 'commit', 'suicide']",friend mine told going commit suicide
disgust,A TV program on whale-hunting.,"['program', 'whalehunting']",program whalehunting
shame,Once when I said bad things concerning a friend.,"['said', 'bad', 'thing', 'concerning', 'friend']",said bad thing concerning friend
guilt,Family discord and uneasiness due to something I did not communicate on time.,"['family', 'discord', 'uneasiness', 'due', 'something', 'communicate', 'time']",family discord uneasiness due something communicate time
happiness,"When I passed my driving test, as it was the fifth time that I had taken this test.","['passed', 'driving', 'test', 'fifth', 'time', 'taken', 'test']",passed driving test fifth time taken test
fear,When my mother was robbed in a shop.,"['mother', 'robbed', 'shop']",mother robbed shop
anger,I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.,"['given', 'exam', 'thought', 'measure', 'ability', 'knowledge', 'subject']",given exam thought measure ability knowledge subject
sadness,"When I saw the film \Johnny got his gun\"" which deals with the consequences of the Vietnam war.""","['saw', 'film', 'johnny', 'got', 'gun', 'deal', 'consequence', 'vietnam', 'war']",saw film johnny got gun deal consequence vietnam war
disgust,Some friends and I were having lunch.  Someone said something funny and one of the guys started laughing and spat his food in a girl's face.,"['friend', 'lunch', 'someone', 'said', 'something', 'funny', 'one', 'guy', 'started', 'laughing', 'spat', 'food', 'girl', 'face']",friend lunch someone said something funny one guy started laughing spat food girl face
shame,"I was alone in the bus when I tripped and fell, and dropped all my papers.","['alone', 'bus', 'tripped', 'fell', 'dropped', 'paper']",alone bus tripped fell dropped paper
guilt,"As I was not paying attention, my little brother fell off the table.","['paying', 'attention', 'little', 'brother', 'fell', 'table']",paying attention little brother fell table
fear,"One night, while I was sleeping, I woke up suddenly with the sensation that there was someone in my room.","['one', 'night', 'sleeping', 'woke', 'suddenly', 'sensation', 'someone', 'room']",one night sleeping woke suddenly sensation someone room
anger,When my brother was held up and robbed.,"['brother', 'held', 'robbed']",brother held robbed
sadness,When they told me that my grandfather was rather ill.,"['told', 'grandfather', 'rather', 'ill']",told grandfather rather ill
disgust,When I see someone vomitting.,"['see', 'someone', 'vomitting']",see someone vomitting
